Filename,symmetry_index,aspect_ratio,pixel_ratio,Red Min,Red Max,Red Mean,Green Min,Green Max,Green Mean,Blue Min,Blue Max,Blue Mean,Red Median,Red Std Dev,Green Median,Green Std Dev,Blue Median,Blue Std Dev,Blue Entropy,Green Entropy,Red Entropy,Area-Perimeter Ratio,Contour Perimeter,Hu Moment 1,Hu Moment 2,Hu Moment 3,Hu Moment 4,Hu Moment 5,Hu Moment 6,Hu Moment 7
103,66.64550436689797,0.8585109565153307,0.028225166666666666,1,255,81.31927221730145,1,255,66.790238912082,1,255,59.07049933913418,83.0,59.19534254199195,59.0,52.096450959956506,45.0,50.06910933359936,6.9690604,7.090706,7.403104,140.96805939452108,4789.2976813316345,0.7129581340884331,2.3299750884977213,3.2518810164767844,4.649235903146596,-8.585876580131007,6.292333371799856,-9.396396564016056
104,66.64550436689797,0.8187947398036629,0.024927166666666667,2,250,76.42868389909269,1,240,70.00845463115877,1,249,60.52163202643673,57.0,62.1324429509921,44.0,62.867982007312726,40.0,56.42238608004767,7.1675215,7.219164,7.335216,114.38833216108101,5208.726176381111,0.6418950692326055,1.9148358072368425,2.5157254297452605,3.7513537944251514,-6.890013932944268,-4.779300874142116,7.685390760990798
105,66.64550436689797,0.6698124468800927,0.023710833333333334,3,255,80.15438618071909,1,255,61.10318456115194,1,255,54.14031735174709,66.0,61.540598009130775,42.0,57.11019665722768,31.0,57.55921620406462,7.0488777,7.234915,7.5897236,162.57955880241002,3490.011316180229,0.7242311770371952,2.11794094361258,3.1827136417533577,4.402783509484021,8.402059839102726,5.692068493131708,8.286374803499044
106,66.64550436689797,0.9888246840619204,0.0315595,1,255,68.11019734019168,1,255,51.910414298220246,1,255,40.80263318816767,65.0,45.03107665558895,48.0,37.106123036398074,36.0,30.689199803655633,6.643629,6.9702516,7.218586,130.8541851839785,5767.67948949337,0.70847458132077,2.9112162318994836,2.682113595992337,4.050956912099976,7.485456396334884,-5.605715339075557,7.697082150559237
107,66.64550436689797,0.8964401294498382,0.021639,6,255,108.29329181878398,1,255,83.63792333228069,1,255,64.11563498775702,110.0,59.5003464282658,83.0,52.28753962568955,59.0,39.567561792791636,7.142444,7.4807334,7.736749,124.21409570105217,4165.131155848503,0.744725996267295,3.370397900248977,3.4722741043311975,4.637517078944922,-8.68298451839661,-6.411466022691877,-9.243233637223367
108,66.64550436689797,0.7143780100409076,0.0153065,1,255,71.41703143544682,1,255,54.89488613163325,1,255,52.62387259239093,70.0,45.57685407761529,47.0,39.86674625630141,41.0,43.66181756538147,7.0298615,7.003848,7.2816296,115.21293823942695,3175.3595176935196,0.7481873446742755,2.5578412222334537,3.561303641846457,4.627841963621447,9.15205135043622,-7.578431750068776,-8.722199136865662
109,66.64550436689797,0.9488918148385204,0.03264966666666667,3,220,81.8713922551532,1,209,65.75904187979214,1,255,46.93073097573719,81.0,50.862524895456765,56.0,48.814020867541814,43.0,35.73944444556945,6.744757,7.0990477,7.2577124,107.93104682062838,7229.458279013634,0.5931670503929605,3.327150349812393,2.094321739828077,3.216098052979063,-5.8821189672546375,-5.439265401351527,6.5273433203766835
110,66.64550436689797,0.9448163631440216,0.021689,3,245,73.23347280495489,2,227,64.10663047320455,1,233,37.6173689562441,74.0,45.70299874990875,68.0,40.82381741221567,32.0,29.485109642262813,6.4825277,7.0772963,7.3261843,117.93249850780124,4397.765726685524,0.7509366807854456,3.0747125554989743,3.621329104358064,4.887765979318578,-9.13446564205098,-6.429219697373381,-9.35363213726373
111,66.64550436689797,0.7964292498006463,0.021688333333333334,2,255,76.99542957042956,1,255,64.80999577345732,1,255,57.732654472794344,68.0,55.974491364225216,49.0,52.97788769433801,40.0,51.09289777810475,7.105546,7.2538214,7.49047,116.04674333236453,4467.471340537071,0.7197089812905844,2.2827339311280954,3.061360834941463,4.5305069185710645,-8.590306263087093,-5.870218908947264,8.385304435482864
112,66.64550436689797,0.9196606638660263,0.044359166666666665,1,255,73.91598347567,1,255,57.91782393056417,1,255,58.134780375808106,63.0,59.90428842940012,47.0,51.99952187417639,45.0,54.86500518137295,7.1504326,7.1801605,7.505271,217.06903207892506,4894.03988134861,0.7511258614397684,2.7259692853819124,3.079926187254579,5.7387510938842725,-9.779727249381514,7.266792447516764,9.898641013409312
